矮,ǎi,short,HSK 3
安静,ānjìng,quiet,HSK 3
饱,bǎo,full (from eating),HSK 3
聪明,cōngming,"smart, intelligent",HSK 3
低,dī,low,HSK 3
短,duǎn,short,HSK 3
饿,è,to be hungry; hungry,HSK 3
方便,fāngbiàn,convenient,HSK 3
干净,gānjìng,"clean, neat",HSK 3
高兴,gāoxìng,happy,HSK 3
坏,huài,bad; spoiled; broken; to break (down),HSK 3
黄,huáng,yellow,HSK 3
简单,jiǎndān,simple,HSK 3
健康,jiànkāng,healthy; health,HSK 3
久,jiǔ,long (time),HSK 3
旧,jiù,old and worn out,HSK 3
渴,kě,thirsty,HSK 3
可爱,kě'ài,"lovable, cute",HSK 3
蓝,lán,blue,HSK 3
老,lǎo,old,HSK 3
绿,lǜ,green,HSK 3
难,nán,difficult,HSK 3
难过,nánguò,to feel upset,HSK 3
年轻,niánqīng,youthful,HSK 3
努力,nǔlì,"to try hard, to strive",HSK 3
胖,pàng,"fat, chubby",HSK 3
便宜,piányi,"cheap, inexpensive",HSK 3
奇怪,qíguài,"strange, odd; to be baffled",HSK 3
清楚,qīngchu,clear,HSK 3
认真,rènzhēn,serious; seriously,HSK 3
热情,rèqíng,"enthusiastic, passionate, super friendly",HSK 3
容易,róngyì,easy,HSK 3
瘦,shòu,thin,HSK 3
舒服,shūfu,comfortable; pleasant-feeling; feeling well,HSK 3
甜,tián,sweet,HSK 3
突然,tūrán,sudden; suddenly,HSK 3
小心,xiǎoxīn,to be careful,HSK 3
新鲜,xīnxiān,fresh,HSK 3
一般,yībān,in general; average,HSK 3
一样,yīyàng,the same (as),HSK 3
有名,yǒumíng,"famous, well-known",HSK 3
着急,zháojí,to be anxious,HSK 3
真,zhēn,"really, truly; real",HSK 3
重要,zhòngyào,important,HSK 3
主要,zhǔyào,main; mainly,HSK 3
比较,bǐjiào,to compare; comparatively,HSK 3
必须,bìxū,must,HSK 3
才,cái,only; just now; not until...,HSK 3
当然,dāngrán,"of course, naturally",HSK 3
多么,duōme,how (wonderful etc)/what (a great idea etc),HSK 3
更,gèng,even more,HSK 3
极,jí,extremely,HSK 3
几乎,jīhū,"almost, nearly",HSK 3
经常,jīngcháng,often,HSK 3
马上,mǎshàng,right away; on horseback,HSK 3
其实,qíshí,"actually, in fact",HSK 3
特别,tèbié,special,HSK 3
先,xiān,"first, in advance",HSK 3
一定,yīdìng,definitely,HSK 3
一共,yīgòng,altogether,HSK 3
一直,yīzhí,continuously; straight (forward),HSK 3
又,yòu,(once) again,HSK 3
越,yuè,to surpass; the more...,HSK 3
真,zhēn,"really, truly; real",HSK 3
只,zhǐ,only,HSK 3
终于,zhōngyú,at last; in the end; finally; eventually,HSK 3
总是,zǒngshì,always,HSK 3
应该,yīnggāi,"should, ought to",HSK 3
愿意,yuànyì,to be willing,HSK 3
不但,bùdàn,not only (... but also...),HSK 3
而且,érqiě,"in addition, furthermore",HSK 3
还是,háishì,or; still,HSK 3
或者,huòzhě,or [in statements],HSK 3
然后,ránhòu,and then,HSK 3
如果,rúguǒ,if,HSK 3
虽然,suīrán,although,HSK 3
一边,yībiān,one side; while doing...,HSK 3
只有,zhǐyǒu,only (if),HSK 3
那么,nàme,"like that, in that way; in that case",HSK 3
其他,qítā,other,HSK 3
这么,zhème,"so much, this much",HSK 3
把,bǎ,[measure word for things with a handle],HSK 3
层,céng,"[measure word for floor, level of a building]",HSK 3
段,duàn,"[measure word for length (of time), paragraph]",HSK 3
分,fēn,a unit of money (equal to 1/100 yuan),HSK 3
公斤,gōngjīn,kilogram (kg),HSK 3
角,jiǎo,unit of money (equal to 1/10 yuan),HSK 3
刻,kè,quarter (hour),HSK 3
口,kǒu,[measure word for bites of food or people in a household],HSK 3
辆,liàng,[measure word for cars],HSK 3
双,shuāng,"pair, [measure word for pairs of things]",HSK 3
条,tiáo,[measure word for long things],HSK 3
碗,wǎn,[measure word for bowls of something],HSK 3
位,wèi,[polite measure word for people],HSK 3
元,yuán,[measure word for units of money],HSK 3
张,zhāng,[measure word for flat things],HSK 3
只,zhī,[measure word for small things],HSK 3
种,zhǒng,"kind, type",HSK 3
爱好,àihào,hobby,HSK 3
阿姨,āyí,maternal aunt; housekeeper,HSK 3
班,bān,"class, team; work",HSK 3
办法,bànfǎ,"way of doing, method",HSK 3
办公室,bàngōngshì,office,HSK 3
包,bāo,bag,HSK 3
报纸,bàozhǐ,newspaper,HSK 3
北,běi,north,HSK 3
北方,běifāng,the north,HSK 3
杯子,bēizi,"cup, glass",HSK 3
变化,biànhuà,change,HSK 3
表演,biǎoyǎn,"play, show, performance",HSK 3
别人,biérén,other people,HSK 3
笔记本,bǐjìběn,notebook,HSK 3
宾馆,bīnguǎn,hotel,HSK 3
冰箱,bīngxiāng,"refrigerator (lit. ""ice box"")",HSK 3
比赛,bǐsài,"competition (sports, etc.)",HSK 3
鼻子,bízi,nose,HSK 3
菜,cài,vegetable; dish (of food); cuisine (of a region),HSK 3
菜单,càidān,menu,HSK 3
船,chuán,"boat, ship",HSK 3
草,cǎo,grass,HSK 3
超市,chāoshì,supermarket,HSK 3
成绩,chéngjì,achievement; grades,HSK 3
城市,chéngshì,city,HSK 3
衬衫,chènshān,dress shirt,HSK 3
厨房,chúfáng,kitchen,HSK 3
春,chūn,spring,HSK 3
出租车,chūzūchē,taxi,HSK 3
词典,cídiǎn,dictionary (of words),HSK 3
词语,cíyǔ,"word, expression",HSK 3
蛋糕,dàngāo,cake,HSK 3
打算,dǎsuàn,plan,HSK 3
灯,dēng,"light, lamp",HSK 3
电脑,diànnǎo,computer,HSK 3
电视,diànshì,"television, TV",HSK 3
电梯,diàntī,elevator; escalator,HSK 3
电影,diànyǐng,"movie, film",HSK 3
电子邮件,diànzǐ yóujiàn,"email (lit. ""electronic mail"")",HSK 3
地方,dìfang,place,HSK 3
地铁,dìtiě,"subway, metro",HSK 3
地图,dìtú,map,HSK 3
东,dōng,east,HSK 3
冬,dōng,winter,HSK 3
动物,dòngwù,animal,HSK 3
东西,dōngxi,thing,HSK 3
耳朵,ěrduo,ear,HSK 3
飞机,fēijī,airplane,HSK 3
附近,fùjìn,"nearby, (in the) vicinity",HSK 3
刚才,gāngcái,(just) a moment ago,HSK 3
个子,gèzi,"height, stature",HSK 3
公园,gōngyuán,public park,HSK 3
狗,gǒu,dog,HSK 3
关系,guānxi,"relation, relationship; to concern",HSK 3
国家,guójiā,"country, nation",HSK 3
过去,guòqù,(in the) past; to go over (to a place),HSK 3
果汁,guǒzhī,fruit juice,HSK 3
故事,gùshi,story,HSK 3
河,hé,river,HSK 3
黑板,hēibǎn,blackboard,HSK 3
后来,hòulái,afterwards; later,HSK 3
花,huā,flower,HSK 3
画,huà,"picture, painting",HSK 3
黄河,HuángHé,"Yellow River, Huang He",HSK 3
环境,huánjìng,"environment, circumstances, surroundings",HSK 3
花园,huāyuán,(flower) garden,HSK 3
会议,huìyì,meeting,HSK 3
护照,hùzhào,passport,HSK 3
脚,jiǎo,"foot, leg",HSK 3
街道,jiēdào,street,HSK 3
节目,jiémù,program,HSK 3
节日,jiérì,"holiday, festival",HSK 3
机会,jīhuì,opportunity,HSK 3
季节,jìjié,"season, time",HSK 3
经理,jīnglǐ,manager,HSK 3
句子,jùzi,sentence,HSK 3
客人,kèrén,"visitor, guest, customer, client",HSK 3
空调,kōngtiáo,air conditioning,HSK 3
口,kǒu,mouth,HSK 3
筷子,kuàizi,chopsticks,HSK 3
裤子,kùzi,long pants,HSK 3
脸,liǎn,face,HSK 3
练习,liànxí,"practice, a (language) exercise",HSK 3
邻居,línjū,neighbor,HSK 3
历史,lìshǐ,history,HSK 3
礼物,lǐwù,"gift, present",HSK 3
楼,lóu,building; floor (of a building),HSK 3
路,lù,"road, path, way",HSK 3
马,mǎ,horse,HSK 3
猫,māo,cat,HSK 3
帽子,màozi,"hat, cap, hood (of a jacket)",HSK 3
门,mén,"door, gate",HSK 3
米,mǐ,(uncooked) rice; meter,HSK 3
面包,miànbāo,bread,HSK 3
面条,miàntiáo,noodles,HSK 3
奶奶,nǎinai,paternal grandmother,HSK 3
南,nán,south,HSK 3
年级,niánjí,grade (in school),HSK 3
鸟,niǎo,bird,HSK 3
盘子,pánzi,"plate, dish, tray",HSK 3
票,piào,ticket,HSK 3
啤酒,píjiǔ,beer,HSK 3
瓶子,píngzi,bottle,HSK 3
皮鞋,píxié,leather shoes,HSK 3
葡萄,pútao,grape(s),HSK 3
普通话,pǔtōnghuà,"Mandarin (lit. ""common speech"")",HSK 3
钱,qián,money,HSK 3
铅笔,qiānbǐ,pencil,HSK 3
秋,qiū,autumn,HSK 3
裙子,qúnzi,"dress, skirt",HSK 3
伞,sǎn,"umbrella, parasol",HSK 3
声音,shēngyīn,"sound, voice",HSK 3
